,ID,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
58,ID1746431762,0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999996,15151.0,2018-02-08,23:37:21,4917.479999999999,0:59:18,17.65
59,ID5957982773,2,3,1,-37.8187574,144.9831919,-37.8098661,144.976295,1594.0,2018-07-08,01:16:39,437.22,1:23:56,73.39
60,ID3592771292,1,8,4,-37.8158343,145.04645,-37.8117936,145.00841599999995,3431.0,2018-05-18,17:44:30,1152.6,18:03:42,14.15
62,ID3469820066,1,8,7,-37.807202,145.0266373,-37.8618349,144.90571599999996,13986.0,2018-03-08,03:39:40,4298.280000000002,4:51:18,32.71
63,ID1563395101,0,2,1,-37.8132018,144.933495,-37.8075592,144.95477380000003,3152.0,2018-04-07,22:03:57,804.5399999999997,22:17:21,17.79
64,ID1706783107,0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999996,15151.0,2018-07-09,12:05:50,4917.479999999999,13:27:47,15.37
65,ID3966103418,1,2,8,-37.81572979999999,144.9380366,-37.8158343,145.04645,9942.0,2018-05-17,02:01:02,2806.38,2:47:48,27.84
66,ID1735714980,0,3,5,-37.8105845,145.0006459,-37.8002199,144.93491930000005,8242.0,2018-04-12,15:08:22,2061.6,15:42:43,10.83
67,ID3198858830,1,2,8,-37.81369229999999,144.9387978,-37.8158343,145.04645,9878.0,2018-01-28,17:09:55,2771.34,17:56:06,12.595
68,ID5319784847,2,6,1,-37.773845,144.9836895,-37.8150883,144.95233530000004,5887.0,2018-03-07,00:44:01,1273.0199999999995,1:05:14,136.1
70,ID3919693352,1,1,4,-37.8190803,144.95353319999995,-37.8022891,145.0027802,5578.0,2018-07-02,04:37:04,1341.54,4:59:25,11.27
71,ID1258041162,0,9,7,-38.1109156,144.65417250000004,-37.8618349,144.90571599999996,50797.0,2018-05-16,19:48:03,13204.979999999996,23:28:07,25.68
72,ID3489260805,1,8,9,-37.807202,145.0266373,-38.1109156,144.65417250000004,49777.0,2018-01-24,13:49:32,12069.78,17:10:41,59.04
73,ID1446794661,0,4,1,-37.80698029999999,145.0147676,-37.8241365,144.9491165,7002.0,2018-06-08,10:00:36,1790.5200000000011,10:30:26,8.33
74,ID1504576085,0,6,2,-37.7874421,144.9804091,-37.8203842,144.9420304,5930.0,2018-03-11,15:38:19,1484.0400000000006,16:03:03,14.19
75,ID1124791078,0,2,7,-37.8149857,144.9274207,-37.8618349,144.90571599999996,11821.0,2018-06-11,13:07:08,3801.6,14:10:29,14.56
76,ID3648296421,1,6,1,-37.773845,144.9836895,-37.8097289,144.96116659999996,4817.0,2018-01-17,07:13:31,1007.52,7:30:18,7.62
77,ID1667246638,0,5,4,-37.8087334,144.9251611,-37.8136398,145.0119015,8339.0,2018-01-18,15:24:13,2163.72,16:00:16,10.72
78,ID3737292542,1,1,2,-37.8030544,144.96815930000002,-37.8164963,144.9458666,2879.0,2018-03-04,08:45:35,759.9,8:58:14,11.47
79,ID1499732654,0,6,9,-37.7738026,144.9836466,-38.1109156,144.65417250000004,51061.0,2018-02-01,16:54:16,12976.499999999995,20:30:32,24.41
80,ID1524033660,0,7,5,-37.8618349,144.90571599999996,-37.8117394,144.9361524,11000.0,2018-06-01,11:18:38,3534.419999999997,12:17:32,5.44
81,ID5442925384,2,6,7,-37.773845,144.9836895,-37.8618349,144.90571599999996,13169.0,2018-07-17,20:09:22,3866.4600000000014,21:13:48,339.47
82,ID3899721610,1,5,8,-37.815102,144.9230496,-37.807202,145.0266373,10614.0,2018-03-06,17:53:42,2799.96,18:40:21,22.96
